dz	108	26	0.24074075
asia	7990	1921	0.24042553
mp	96	23	0.23958333
nf	13	3	0.23076923
sr	65	15	0.23076923
pf	61	14	0.22950819
gm	1671	383	0.22920407
bi	136	30	0.22058824
jo	2069	442	0.21362977
mt	53	11	0.20754717
ae	17036	3506	0.20579949
mc	10	2	0.2
im	23705	4706	0.19852352
ga	52	10	0.1923077
guru	63	12	0.1904762
li	9938	1888	0.18997787
gy	380	69	0.18157895
aq	6	1	0.16666667
nr	30	5	0.16666667
fj	6	1	0.16666667
directory	13	2	0.15384616
mv	139	21	0.15107913
cf	27	4	0.14814815
sc	1160	168	0.14482759
gd	915	127	0.13879782
gg	753	102	0.13545817
int	155413	20941	0.1347442
museum	22373	3009	0.13449247
gl	1905	251	0.13175853
bj	8	1	0.125
yt	27	3	0.11111111
gs	5440	579	0.10643382
vi	959	96	0.10010427
ax	50	5	0.1
an	42	4	0.0952381
bike	47	4	0.08510638
clothing	12	1	0.083333336
tt	9943	796	0.080056325
gi	415	31	0.0746988
lc	155	8	0.051612902
uk	604	31	0.0513245
pr	2758	139	0.05039884
sh	54100	1531	0.028299445
st	1152554	4248	0.0036857275
zw	1	0	0.0
sexy	5	0	0.0
zm	1	0	0.0
za	2	0	0.0
photos	3	0	0.0
tp	1	0	0.0
th	3	0	0.0
kitchen	1	0	0.0
py	1	0	0.0
singles	1	0	0.0
et	2	0	0.0
gh	3	0	0.0
graphics	1	0	0.0
ne	1	0	0.0
ventures	2	0	0.0
ls	5	0	0.0
kw	8	0	0.0
technology	39	0	0.0
ki	2	0	0.0
